,value,object_id,create_time,disk_index
64,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 09:00:00,0
65,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 10:00:00,0
66,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 11:00:00,0
67,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 12:00:00,0
68,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 13:00:00,0
69,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 14:00:00,0
70,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 15:00:00,0
71,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 16:00:00,0
72,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 17:00:00,0
73,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 18:00:00,0
74,1,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 19:00:00,0
75,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 20:00:00,0
76,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 21:00:00,0
77,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 22:00:00,0
78,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 23:00:00,0
79,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 00:00:00,0
80,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 01:00:00,0
81,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 02:00:00,0
82,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 03:00:00,0
83,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 04:00:00,0
84,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 05:00:00,0
85,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 06:00:00,0
86,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 07:00:00,0
87,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 08:00:00,0
88,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 09:00:00,0
89,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 10:00:00,0
90,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 11:00:00,0
91,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 12:00:00,0
92,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 13:00:00,0
93,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 14:00:00,0
94,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 15:00:00,0
95,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 16:00:00,0
96,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 17:00:00,0
97,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 18:00:00,0
98,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/11/2019 19:00:00,0
